word,mean
absolutely,절대적으로
revolve,회전하다
voyage,항해하다
arctic,북극의
version,"번역, 판"
joyful,즐거운
prime minister,수상
jeans,바지
uninhabited,사람이 살지 않는
security,"보안, 안전"
discard,"포기, 버리다"
formless,모양이 없는
equality,평등
stretch,뻗다
awaken,"깨우다, 자각시키다"
wing,날개
rotate,"회전하다, 교대하다"
brightness,빛남
struck off,강타하다
pioneer,개척자
ruin,폐허
take down,~을 받아 적다
classify,분류하다
involve,"포함하다, 몰두하다"
calmness,고요
requisite,"필요한, 필수품"
likelihood,가능성
loyalty,충성심
choice,"선택, 고급의"
snack,가벼운 식사
lawmaker,입법자
weep,"울다, 슬퍼하다"
windy,바람 부는
marine,바다의
awful,끔직한
put A into practice,A를 실행에 옮기다
paragliding,패러글라이딩
take place,발생하다
positive,"긍정적인, 양성의"
explosive,"폭발성의, 폭발물"
fatty,지방성의
mediterranean,지중해의
glacier,빙하
scale,"저울, 규모"
chant,"부르다, 노래"
acoustic,청각의
limit,제한(하다)
therapy,치료(법)
bless,축복하다
seasoned,"양념된, 노련한, 제철의"
accord,일치하다
suburban,교외의
equality,평등
lawmaker,입법자
vain,헛된
refinement,"정제, 세련"
merchant,상인
alive,살아있는
whirl,"소용돌이치다, 질주하다, 회전"
sensitivity,민감도
bottom,바닥
be projected to,~할 것으로 예상되다
politics,정치(학)
quest,탐색
presence,"출석, 존재"
interesting,흥미 있는
despair,절망
put away,~을 치우다
handicapped,신체적 장애가 있는
marvelous,훌륭한
collective,총체적인
embarrassed,당황한
effect,"결과, 효과"
be unable to,~할 수 없다
ankle,"발목, 걸어가다"
especially,특히
meaningful,의미심장한
bill,"청구서, 법안"
scope,시야
presidential,"대통령의, 지배하는"
bandage,"붕대, 안대"
college,대학
self-control,자제력
tumble,넘어지다
switch,"스위치, 전환"
in short,요컨대
conference,회의
defective,결함이 있는
sensor,센서
enthusiast,열광자
on the other hand,반면에
insurer,보험업자
psychologist,심리학자
occasionally,때때로
loneliness,외로움
scope,"시야, 범위"
handwriting,"필적, 친필"
legendary,전설의
call off,~을 중지하다
savage,잔인한
apartheid,인종차별 정책
per,~당(마다)
coal,석탄
competitive,경쟁적인
in conclusion,결론적으로
patriot,애국자
bunch,다발
knock over,(부딪쳐서) 넘어뜨리다
longing,갈망
masterpiece,걸작
perfect,완벽한
honor,"명예, 존경"
embarrass,당황하게 하다
hunted,쫓기는
fraud,"부정, 사기"
grasp,"붙잡다, 이해하다"
floppy,"유연한, 헐렁한"
tense,긴장한
advertiser,광고주
uniqueness,유일함
publish,출판하다
castle,성
strokes,뇌졸중
park,"주차하다, 공원"
threatened,위협당한
transition,변천
sow,~를 뿌리다
alley,골목길
come off,떨어지다
sharply,날카롭게
microwave,"가열하다, 마이크로파의"
artifact,인공물
moreover,게다가
float,떠오르다
pleasantly,즐겁게
survey,조사하다
unnoticed,간과되는
groom,신랑
handkerchief,손수건
millionaire,백만장자
industry,산업
seashore,해안
delinquency,비행(범죄)
bothersome,귀찮은
omnivorous,잡식성의
on several occasion,몇 차례에 걸쳐
enlightened,계몽된
disastrously,비참하게
as a consequence,그 결과
outsmart,한 수 앞서다
maturity,성숙
flaw,"갈라진 틈, 결점"
action,행동
increasingly,점점
adaptable,적응할 수 있는
unburden,짐을 풀다
workshop,"강습회, 연수회, 작업장"
atom,원자
disbelieve,불신하다
polling booth,투표소
good,선
dose,1회 복용량
current,"현재의, 경향"
military,군대
convex,볼록한
get lost,잃어버리다
reputation,"명성, 평판"
fence,울타리
unfamiliar,낯선
meteorologist,기상학자
multi-tasking,다중 작업의
readily,"즉시, 기꺼이"
harder,힘겨운
anthropologist,인류학자
omission,생략
defrost,~을 녹이다
seem,~처럼 보이다
rejection,"거절, 폐기"
pebble,조약돌
blow,불다
work on,착수하다
construct,"건설하다, 구성하다"
precious,값비싼
obligation,"의무, 책임"
decrease,감소하다
on end,"곤두서서, 세로로"
category,범주
sad,슬픈
assure,보증하다
monotonous,단조로운
square,"정사각형, 광장"
similarity,유사함
exert,쓰다
stale,싱싱하지 못한
generation,"세대, 발생"
unwise,현명하지 못한
elect,"선출하다, 선거하다"
eject,"분출하다, 쫓아내다"
radiate,"방사하다, 발산되다"
endanger,위태롭게 하다
wooden,나무의
microbial,미생물의
unproductive,비생산적인
consistently,"일관하여, 지속적으로"
grand,웅장한
bullfighting,투우
continually,끊임없이
oriental,동양의
stock,"주식, 재고품"
differ,다르다
self-discipline,자기 수양
background,배경
so A that B,너무 A해서 B하다
make sense,뜻이 통하다
well-to-do,유복한
sock,(낡은)양말
leadership,리더십
as opposed to,~와는 대조적으로
interstate,"간선도로, 주 사이에"
revise,~을 개정하다
grade,"등급, 점수"
condemn,비난하다
remedy,치료
dilemma,진퇴양난
transmission,"전송, 변속"
connection,"결합, 연결"
management,경영
blanket,담요
trick,"책략, 속이다"
describe,"설명하다, 묘사하다"
gauge,"치수, 재다"
hunger,"굶주림, 갈망"
curve,곡선
widespread,광범위한
assumption,가설
daily,매일의
patient,"환자, 인내심 있는"
seize,붙잡다
cartoon,만화
oblige,"강요하다, 은혜를 베풀다"
dwell,거주하다
awe,"압도하다, 경외심"
offshore,앞바다에
yard,"정원, 야드(길이 단위)"
flourish,번식하다
soaked,흠뻑 젖은
candle,양초
thorn,가시
aversion,혐오
substance,물질
blacksmith,대장장이
container,용기
campaign,"캠페인, (선거)유세"
journal,"잡지, 신문"
compete,경쟁하다
pace,"페이스, 걸음"
repeat,~를 반복하다
theater,극장
inaugural,취임의
expert,전문가
corporation,법인
in the distance,먼 곳에
all along,처음부터 쭉
spot,"발견하다, 장소, 반점"
concentrate,집중하다
wrinkly,주름이 많은
allowance,"허용, 용돈"
fearful,무서운
forget,망각하다
seriousness,심각함
glow,작열하다
province,주(행정단위)
vase,꽃병
donate,~을 기부하다
startle,~을 깜짝 놀라게 하다
generalization,일반화
generosity,관대
example,예시
destructive,파괴적인
argument,"논쟁, 주장"
familiar,친숙한
absent,결석의
expansion,팽창
extra,여분의
invention,발명(품)
legal,법률의
scrap,"파편, 발췌"
irritation,짜증나게 하는 것
absence,결석
branch,"가지, 지점"
diligence,근면
suspect,"의심하다, 용의자"
put down,~을 아래에 두다
cheat,"속이다, 부정행위를 하다"
engage,"약속하다, 종사하다"
migration,"이주, 철새"
newsstand,신문판매점
ignition,점화장치
optimism,낙천주의
scribble,낙서하다
distinctive,"특이한, 분명한"
rigorous,엄한
sludge,진흙
shuttle,우주 왕복선
untidiness,어수선함
robber,강도
infect,"감염시키다, ~에 영향을 미치다"
inactive,"비활동적인, 소극적인"
redirect,방향을 바꾸다
height,높이
profitable,수익성 있는
puberty,사춘기
refuse,거절하다
rear,뒤(의)
palace,궁전
sympathetic,동정어린
unethical,비윤리적인
expel,추방하다
awake,"깨우다, 자각하다"
crack,갈라지다
view,"광경, 견해"
compare,비교하다
lightweight,경량의
shame,부끄러움
dense,밀집한
axis,(중심)축
textbook,교과서
graphic,사실적인
booklet,작은 책자
minority,소수
humidity,습기
incorrect,부정확한
inspiration,"영감, 격려"
realm,영역
modesty,겸손
occupation,"직업, 점유"
shoe,신발
appearance,"출현, 외모"
traditionally,관습적으로
vending machine,자동판매기
dentist,치과의사
earn,"얻다, 벌다"
lasting,지속하는
personal,개인의
ask for,요구하다
behavior,행동
dine,식사를 하다
summarize,요약하다
shudder,떨다
sort,"종류, 분류하다"
misrepresent,~을 잘못 전하다
excel,능가하다
unrealistic,비현실적인
itchy,가려운
ignorance,"무지, 어리석음"
sled,썰매
disharmony,불협화음
diameter,지름
spray,~을 뿌리다
accompany,동반하다
taste,"맛, 취미"
inaudible,들리지 않는
govern,다스리다
pediatric,소아과의
leak,"(액체, 기체가) 새다"
whistle,휘파람 (불다)
blueprint,청사진
conceal,숨기다
impact,"충돌, 영향을 주다"
trait,특성
similarly,유사하게
eat out,외식하다
establish,설립하다
sewer,"하수구, 재봉사, 재봉틀"
splendid,대단한
in the past,과거에
private,사적인
well-ordered,질서정연한
as compared with,~와 비교하여
collision,충돌
telemarketer,전화통신판매원
ill,아픈
confusion,혼란
circulation,"순환, (책, 잡지)발행부수"
cruelty,잔혹(함)
ginger,생강
cluck,꼬꼬 우는 소리
skill,기술
adjective,"형용사의, 부가적인"
upset,"혼란, 화난"
faraway,먼
beach,해변
executive,"행정적인, 관리의"
grateful,감사하는
moonless,달이 뜨지 않은
conscience,양심
useless,쓸모없는
cruel,잔혹한
reassure,"안심시키다, 재보증하다"
humorous,우스꽝스러운
close,"가까운, 친한"
melt away,녹아들다
motion sickness,멀미
lightning,번개
sage,현자
